input,prompt,response
Shovel|Alligator|Spanner,Answer using only one word - Alligator or Spanner and not Shovel. Which is more similar in semantic meaning to Shovel?,Spanner
Anvil|Caiman|Tortoise,Answer using only one word - Caiman or Tortoise and not Anvil. Which is more similar in semantic meaning to Anvil?,Caiman
Nail|Boa python|Snake,Answer using only one word - Boa python or Snake and not Nail. Which is more similar in semantic meaning to Nail?,Snake
Paint brush|Chisel|Toad,Answer using only one word - Chisel or Toad and not Paint brush. Which is more similar in semantic meaning to Paint brush?,Toad
Shovel|Caiman|Crocodile,Answer using only one word - Caiman or Crocodile and not Shovel. Which is more similar in semantic meaning to Shovel?,Caiman
Alligator|Gecko|Salamander,Answer using only one word - Gecko or Salamander and not Alligator. Which is more similar in semantic meaning to Alligator?,Salamander
Cobra|Boa python|Turtle,Answer using only one word - Boa python or Turtle and not Cobra. Which is more similar in semantic meaning to Cobra?,Turtle
Oil can|Grinding disk|Hammer,Answer using only one word - Grinding disk or Hammer and not Oil can. Which is more similar in semantic meaning to Oil can?,Hammer
Paint brush|Lizard|Spanner,Answer using only one word - Lizard or Spanner and not Paint brush. Which is more similar in semantic meaning to Paint brush?,Spanner
Gecko|Axe|Vacuum,Answer using only one word - Axe or Vacuum and not Gecko. Which is more similar in semantic meaning to Gecko?,Axe
Toad|Caiman|Tortoise,Answer using only one word - Caiman or Tortoise and not Toad. Which is more similar in semantic meaning to Toad?,Caiman
Chameleon|Cobra|Shovel,Answer using only one word - Cobra or Shovel and not Chameleon. Which is more similar in semantic meaning to Chameleon?,Shovel
Anvil|Chisel|Grinding disk,Answer using only one word - Chisel or Grinding disk and not Anvil. Which is more similar in semantic meaning to Anvil?,Anvil
Saw|Alligator|Caiman,Answer using only one word - Alligator or Caiman and not Saw. Which is more similar in semantic meaning to Saw?,Caiman
Paint brush|Lawn Mower|Lizard,Answer using only one word - Lawn Mower or Lizard and not Paint brush. Which is more similar in semantic meaning to Paint brush?,Lizard
Hammer|Blindworm|Lizard,Answer using only one word - Blindworm or Lizard and not Hammer. Which is more similar in semantic meaning to Hammer?,Blindworm
Blindworm|Anvil|Axe,Answer using only one word - Anvil or Axe and not Blindworm. Which is more similar in semantic meaning to Blindworm?,Axe
Dinosaur|Anvil|Crocodile,Answer using only one word - Anvil or Crocodile and not Dinosaur. Which is more similar in semantic meaning to Dinosaur?,Anvil
Knife|Crocodile|Turtle,Answer using only one word - Crocodile or Turtle and not Knife. Which is more similar in semantic meaning to Knife?,Crocodile
Anvil|Lizard|Toad,Answer using only one word - Lizard or Toad and not Anvil. Which is more similar in semantic meaning to Anvil?,Lizard
Lizard|Snake|Spanner,Answer using only one word - Snake or Spanner and not Lizard. Which is more similar in semantic meaning to Lizard?,Snake
Caiman|Gecko|Paint brush,Answer using only one word - Gecko or Paint brush and not Caiman. Which is more similar in semantic meaning to Caiman?,Gecko
Snake|Caiman|Knife,Answer using only one word - Caiman or Knife and not Snake. Which is more similar in semantic meaning to Snake?,Caiman
Knife|Caiman|Crocodile,Answer using only one word - Caiman or Crocodile and not Knife. Which is more similar in semantic meaning to Knife?,Caiman
Lawn Mower|Chameleon|Nail,Answer using only one word - Chameleon or Nail and not Lawn Mower. Which is more similar in semantic meaning to Lawn Mower?,Nail
Lizard|Turtle|Vacuum,Answer using only one word - Turtle or Vacuum and not Lizard. Which is more similar in semantic meaning to Lizard?,Turtle
Gecko|Chisel|Knife,Answer using only one word - Chisel or Knife and not Gecko. Which is more similar in semantic meaning to Gecko?,Chisel
Tortoise|Blindworm|Paint brush,Answer using only one word - Blindworm or Paint brush and not Tortoise. Which is more similar in semantic meaning to Tortoise?,Blindworm
Dinosaur|Gecko|Knife,Answer using only one word - Gecko or Knife and not Dinosaur. Which is more similar in semantic meaning to Dinosaur?,Gecko
Oil can|Chisel|Crocodile,Answer using only one word - Chisel or Crocodile and not Oil can. Which is more similar in semantic meaning to Oil can?,Chisel
Chisel|Alligator|Saw,Answer using only one word - Alligator or Saw and not Chisel. Which is more similar in semantic meaning to Chisel?,Saw
Tortoise|Grinding disk|Oil can,Answer using only one word - Grinding disk or Oil can and not Tortoise. Which is more similar in semantic meaning to Tortoise?,Oil
Grinding disk|Blindworm|Oil can,Answer using only one word - Blindworm or Oil can and not Grinding disk. Which is more similar in semantic meaning to Grinding disk?,Oilcan
Toad|Hammer|Lawn Mower,Answer using only one word - Hammer or Lawn Mower and not Toad. Which is more similar in semantic meaning to Toad?,Hammer
Knife|Gecko|Lizard,Answer using only one word - Gecko or Lizard and not Knife. Which is more similar in semantic meaning to Knife?,Lizard
Caiman|Chameleon|Spanner,Answer using only one word - Chameleon or Spanner and not Caiman. Which is more similar in semantic meaning to Caiman?,Chameleon
Oil can|Chisel|Gecko,Answer using only one word - Chisel or Gecko and not Oil can. Which is more similar in semantic meaning to Oil can?,Chisel
Crocodile|Grinding disk|Turtle,Answer using only one word - Grinding disk or Turtle and not Crocodile. Which is more similar in semantic meaning to Crocodile?,Turtle
Nail|Knife|Lawn Mower,Answer using only one word - Knife or Lawn Mower and not Nail. Which is more similar in semantic meaning to Nail?,Knife
Snake|Knife|Oil can,Answer using only one word - Knife or Oil can and not Snake. Which is more similar in semantic meaning to Snake?,Knife
Lawn Mower|Axe|Caiman,Answer using only one word - Axe or Caiman and not Lawn Mower. Which is more similar in semantic meaning to Lawn Mower?,Axe
Anvil|Lizard|Saw,Answer using only one word - Lizard or Saw and not Anvil. Which is more similar in semantic meaning to Anvil?,Anvil
Shovel|Cobra|Toad,Answer using only one word - Cobra or Toad and not Shovel. Which is more similar in semantic meaning to Shovel?,Cobra
Alligator|Blindworm|Lawn Mower,Answer using only one word - Blindworm or Lawn Mower and not Alligator. Which is more similar in semantic meaning to Alligator?,Blindworm
Crocodile|Cobra|Salamander,Answer using only one word - Cobra or Salamander and not Crocodile. Which is more similar in semantic meaning to Crocodile?,Cobra
Caiman|Chisel|Salamander,Answer using only one word - Chisel or Salamander and not Caiman. Which is more similar in semantic meaning to Caiman?,Chisel
Chisel|Paint brush|Saw,Answer using only one word - Paint brush or Saw and not Chisel. Which is more similar in semantic meaning to Chisel?,Saw
Grinding disk|Blindworm|Knife,Answer using only one word - Blindworm or Knife and not Grinding disk. Which is more similar in semantic meaning to Grinding disk?,Knife
Saw|Gecko|Salamander,Answer using only one word - Gecko or Salamander and not Saw. Which is more similar in semantic meaning to Saw?,Salamander
Knife|Lawn Mower|Vacuum,Answer using only one word - Lawn Mower or Vacuum and not Knife. Which is more similar in semantic meaning to Knife?,Knife
Crocodile|Hammer|Spanner,Answer using only one word - Hammer or Spanner and not Crocodile. Which is more similar in semantic meaning to Crocodile?,Hammer
Grinding disk|Hammer|Screwdriver,Answer using only one word - Hammer or Screwdriver and not Grinding disk. Which is more similar in semantic meaning to Grinding disk?,Screwdriver
Toad|Paint brush|Tortoise,Answer using only one word - Paint brush or Tortoise and not Toad. Which is more similar in semantic meaning to Toad?,Tortoise
Screwdriver|Axe|Dinosaur,Answer using only one word - Axe or Dinosaur and not Screwdriver. Which is more similar in semantic meaning to Screwdriver?,Axe
Oil can|Axe|Snake,Answer using only one word - Axe or Snake and not Oil can. Which is more similar in semantic meaning to Oil can?,Axe
Nail|Dinosaur|Oil can,Answer using only one word - Dinosaur or Oil can and not Nail. Which is more similar in semantic meaning to Nail?,Oil
Oil can|Snake|Toad,Answer using only one word - Snake or Toad and not Oil can. Which is more similar in semantic meaning to Oil can?,Snake
Axe|Gecko|Vacuum,Answer using only one word - Gecko or Vacuum and not Axe. Which is more similar in semantic meaning to Axe?,Vacuum
Toad|Caiman|Oil can,Answer using only one word - Caiman or Oil can and not Toad. Which is more similar in semantic meaning to Toad?,Caiman
Shovel|Dinosaur|Lawn Mower,Answer using only one word - Dinosaur or Lawn Mower and not Shovel. Which is more similar in semantic meaning to Shovel?,Shovel
Hammer|Anvil|Lizard,Answer using only one word - Anvil or Lizard and not Hammer. Which is more similar in semantic meaning to Hammer?,Anvil
Salamander|Blindworm|Tortoise,Answer using only one word - Blindworm or Tortoise and not Salamander. Which is more similar in semantic meaning to Salamander?,Blindworm
Chameleon|Boa python|Toad,Answer using only one word - Boa python or Toad and not Chameleon. Which is more similar in semantic meaning to Chameleon?,Boa
Crocodile|Alligator|Screwdriver,Answer using only one word - Alligator or Screwdriver and not Crocodile. Which is more similar in semantic meaning to Crocodile?,Alligator
Lizard|Gecko|Turtle,Answer using only one word - Gecko or Turtle and not Lizard. Which is more similar in semantic meaning to Lizard?,Gecko
Crocodile|Gecko|Turtle,Answer using only one word - Gecko or Turtle and not Crocodile. Which is more similar in semantic meaning to Crocodile?,Gecko
Anvil|Crocodile|Grinding disk,Answer using only one word - Crocodile or Grinding disk and not Anvil. Which is more similar in semantic meaning to Anvil?,Anvil
Anvil|Caiman|Knife,Answer using only one word - Caiman or Knife and not Anvil. Which is more similar in semantic meaning to Anvil?,Knife
Salamander|Alligator|Nail,Answer using only one word - Alligator or Nail and not Salamander. Which is more similar in semantic meaning to Salamander?,Alligator
Grinding disk|Axe|Dinosaur,Answer using only one word - Axe or Dinosaur and not Grinding disk. Which is more similar in semantic meaning to Grinding disk?,Axe
Snake|Chisel|Vacuum,Answer using only one word - Chisel or Vacuum and not Snake. Which is more similar in semantic meaning to Snake?,Chisel
Toad|Crocodile|Lizard,Answer using only one word - Crocodile or Lizard and not Toad. Which is more similar in semantic meaning to Toad?,Lizard
Axe|Salamander|Turtle,Answer using only one word - Salamander or Turtle and not Axe. Which is more similar in semantic meaning to Axe?,Axe
Saw|Cobra|Turtle,Answer using only one word - Cobra or Turtle and not Saw. Which is more similar in semantic meaning to Saw?,Cobra
Blindworm|Caiman|Cobra,Answer using only one word - Caiman or Cobra and not Blindworm. Which is more similar in semantic meaning to Blindworm?,Caiman
